"","MODZCTA","Neighborhood","Borough","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","ZCTA","total_population","percent_female","percent_unemployed","median_income","poverty_rate","percent_uninsured","percent_public_health_insurance","percent_private_health_insurance","home_ownership","renter_occupied","single_mom","single_dad","home_median_value","high_school_completion","college_graduates","percent_with_Internet","percent_white","median_age","percent_black","percent_hispanic_latino","percent_receiving_public_assistance","percent_in_mgmt_art_sci","percent_spending_35_percent_rent","median_rent","percent_asian","percent_non_citizens","percent_with_disability","crowding"
"107","11219","Borough Park","Brooklyn",2923,3147.81,92858.07,205,220.77,25.8,"11219",90036,50,5.8,39295,30.9,6.8,69.9,30.1,27.4,72.6,3.2,1.7,864700,66,19.2,58.9,67.2,27.8,1,12.1,4.3,29.7,63.9,1394,24.5,49.4,8.9,25.6
"108","11220","Sunset Park","Brooklyn",1454,1476.89,98450,150,152.36,34.38,"11220",95643,49.5,6.3,47079,25.3,16.1,59.3,28.9,26,74,7.2,2.5,827800,53.1,20.9,72,30.3,34.3,2.6,41.7,3.9,21.2,51.4,1355,41.3,61.5,8.3,23.3
"109","11221","Williamsburg - Bushwick","Brooklyn",1234,1510.91,81672.44,118,144.48,31.21,"11221",83835,52.1,10.1,50153,19.9,11.3,43.1,54.6,21.5,78.5,10.8,2,784600,78.8,31.3,74.5,27.7,31.6,49,34.3,5.1,38.9,46,1372,3.4,50.7,9.4,6.59999999999999
"110","11222","Greenpoint","Brooklyn",427,1174.72,36349.16,28,77.03,22.3,"11222",36492,50.7,4.8,85111,7.9,8.7,22.9,73.8,17.9,82.1,1.9,0.6,818200,91.1,58.7,81.8,81.9,34.8,4.4,14.2,2.8,61.7,37,1966,5,46.6,8.2,4.3
"111","11223","Coney Island - Sheepshead Bay","Brooklyn",1644,2056.1,79957.11,132,165.09,32.88,"11223",81789,51,7.8,50108,18.2,8.3,48.7,49.4,35.6,64.4,6.4,2.5,752200,77.9,31.7,80.7,57.2,36.5,4.8,16.7,4,34,49.7,1318,24.2,35.3,11.3,12.1
"112","11224","Coney Island - Sheepshead Bay","Brooklyn",1101,2474.86,44487.34,192,431.58,33.96,"11224",46707,55.2,9.9,33131,22.2,6.3,59.7,44,27.8,72.2,11.1,1.9,386400,80.3,35.8,69.7,58.1,45.5,22.5,20.4,6.7,31.5,40.6,822,5.9,23.3,21.2,6.09999999999999
"113","11225","East Flatbush - Flatbush","Brooklyn",1112,1926.83,57711.49,125,216.59,34.18,"11225",58882,54.5,7.8,55862,14.7,8.2,38.8,59.7,15.7,84.3,7.6,2.2,776200,87,38.6,76.3,27.2,34.8,63.9,8.3,4.9,45.8,45.1,1395,2.6,35.9,7,7
"114","11226","East Flatbush - Flatbush","Brooklyn",2138,2158.26,99061.32,246,248.33,36.12,"11226",100277,55,7.2,52052,13.2,11.1,45,49.1,12.4,87.6,10.5,2.1,580400,84.1,28.4,73.9,15.2,34.7,68.2,17.1,4.3,34.2,47.2,1365,2.9,41.4,7.4,13.4
"115","11228","Bensonhurst - Bay Ridge","Brooklyn",627,1418.07,44215.08,75,169.63,30.98,"11228",44994,51.1,6.5,67911,10.8,6.1,41,63.8,55.2,44.8,5,1.1,864600,79.1,33.5,83.4,55.7,41.1,1.2,13,2.1,39.7,50.5,1416,35.6,36.5,11.1,8.90000000000001
"116","11229","Coney Island - Sheepshead Bay","Brooklyn",1498,1764.24,84909.16,130,153.1,31.36,"11229",83615,51.8,6.2,60873,11.7,6.8,43.6,58.3,47.2,52.8,5.2,1.2,608400,84.8,37.6,81.9,64.6,40.8,6,10.8,3.9,40.3,45.5,1319,22.2,31.2,10.2,8.8
"117","11230","Borough Park","Brooklyn",2239,2511.05,89165.77,198,222.06,32.1,"11230",89075,52,6.2,49541,17.6,8.6,51.4,47.6,29.7,70.3,4.6,1.1,770600,82.7,41,73.1,70,33.8,7.1,10.2,2.8,41.5,54.4,1360,14.2,38.9,12.2,15
"118","11231","Downtown - Heights - Slope","Brooklyn",403,1089.35,36994.7,33,89.2,25.25,"11231",37845,53.6,8,100213,12.8,4.9,29.2,73,31.3,68.7,8.2,0.7,1268600,88.2,62.9,85.1,65.9,35.9,13.9,18.6,3.6,69,30.4,1749,5.6,42.3,10.7,6.7
"119","11232","Sunset Park","Brooklyn",501,1772.13,28271.09,39,137.95,37.12,"11232",27602,48.2,6.5,56661,21.3,14.5,44.2,48.6,25.2,74.8,7.4,3.2,705600,69,30.3,82,41.3,33.8,6.4,50.6,4.2,35.6,48.6,1492,19.1,58.4,9.2,18.1
"120","11233","Bedford Stuyvesant - Crown Heights","Brooklyn",1207,1673.01,72145.54,123,170.49,34.05,"11233",76819,54.3,6.2,40449,25,8.6,47.4,50.8,22.7,77.3,15.9,3.2,755900,79.6,25.1,71.3,8.8,33,78.8,16,6.3,35.1,48.9,1175,1.7,39.7,10.4,6.5
"121","11234","Canarsie - Flatlands","Brooklyn",2171,2277.95,95304.8,167,175.23,35.73,"11234",95666,52.5,7.2,81399,6.7,6.1,36,68.5,68,32,7.2,1.6,556500,89.9,34.8,83.6,41.6,40.3,45.8,10.5,2.2,41.3,44.1,1448,6.7,24.4,9.2,6.90000000000001
"122","11235","Coney Island - Sheepshead Bay","Brooklyn",1954,2456.62,79540.14,259,325.62,34.68,"11235",78128,52.1,5.9,52538,14.4,9.2,48.5,51.8,39.6,60.4,3.4,1.1,534300,87.3,47.8,78.1,75.2,45.1,2.6,8.3,2.8,41.8,49.8,1321,14.4,30.6,15.2,11.7
"123","11236","Canarsie - Flatlands","Brooklyn",2583,2667.09,96846.99,267,275.69,39.24,"11236",100331,56.4,5.9,67669,10.6,7.8,35.4,63.9,48.8,51.2,11.9,2.3,517700,86.8,27.7,83.1,5.9,37.9,86.4,7.1,3.5,33.6,40.4,1377,2.7,25,7.9,7.09999999999999
"124","11237","Williamsburg - Bushwick","Brooklyn",908,1791.08,50695.72,102,201.2,35.41,"11237",49310,48.5,6.7,51413,28.4,18.2,45.9,42.8,10,90,9.2,3.1,651800,70.6,30.2,75.8,42.1,30.3,13.5,63,4.9,34.6,50.4,1484,7.4,63.2,8.6,13.1
"125","11238","Bedford Stuyvesant - Crown Heights","Brooklyn",742,1373.67,54015.79,89,164.77,28.96,"11238",54540,53.3,5.9,85407,9.7,5.7,27.2,74.7,29.9,70.1,4.8,1.1,886100,90.6,62,83.8,46.4,35.8,37.6,10.9,3,65,33.4,1730,6.2,37.3,9.9,3.8
"126","11239","Canarsie - Flatlands","Brooklyn",488,3931.25,12413.37,77,620.3,35.94,"11239",13244,59.2,8.1,27104,23.7,3.6,61.7,40.8,3.2,96.8,9.9,1.2,499400,77.8,19.2,66.2,30.6,46.8,60.3,18.9,7.4,29.1,37.9,690,2.3,14,23.5,4
"127","11354","Flushing - Clearview","Queens",1128,2031.76,55518.32,249,448.5,36.52,"11354",55200,54.7,4.2,42500,17.4,19.5,39.7,46.6,38.7,61.3,4.6,1,498400,73.4,20.5,72.8,20.8,45.5,3.2,15.9,3.3,27,60.2,1440,62.8,53.7,8.6,9.8
"128","11355","Flushing - Clearview","Queens",1220,1524.73,80013.97,141,176.22,37.92,"11355",80853,52.2,4,39207,19.7,21.3,45.1,39.1,30.1,69.9,3.3,0.8,573700,69.9,19.5,72.3,13.2,42.8,3.4,14.8,3.1,23.8,61.9,1392,72.7,54.4,7.7,16.2
"129","11356","Flushing - Clearview","Queens",533,2285.32,23322.74,40,171.51,35.12,"11356",23362,50.2,3.6,60493,10,12.3,34.5,58.4,44.3,55.7,5.9,0.8,626300,77.6,19.1,78.7,35.9,37.1,1.8,40.3,3.1,25.8,51.9,1656,29.4,49.2,5.7,7.5
"130","11357","Flushing - Clearview","Queens",783,1958.7,39975.56,78,195.12,32.38,"11357",39902,52.5,5.5,83951,5.4,5.7,30.3,77.9,77.4,22.6,2,1.4,678900,85.8,38.9,85,70.1,45.5,0.6,15.6,1,43.1,45.6,1763,22.1,28.4,11.6,2.2
"131","11358","Flushing - Clearview","Queens",540,1519.35,35541.5,33,92.85,30.17,"11358",37190,50.6,4.1,66129,9.1,12,33.1,63.5,55.3,44.7,2.8,1.1,752600,82.9,31.1,83,41.7,43.9,0.9,16.8,2.5,38.8,49.4,1601,47.1,42,6.5,4.8
"132","11360","Flushing - Clearview","Queens",301,1595.7,18863.17,16,84.82,25.15,"11360",19621,53.8,4,86174,6.8,4,35.6,79,71.5,28.5,3,1.1,522000,92.8,53.6,87.1,62.2,48.5,1,9.8,0.8,51.2,37.8,2047,32.6,29.1,11.7,2.3
"133","11361","Bayside - Little Neck","Queens",433,1547.98,27971.99,39,139.43,28.66,"11361",27246,51,4.4,85887,7.4,7,33.7,70.9,57.4,42.6,3.6,1.4,682500,87.2,41.6,89.3,48.6,43.3,3.8,12.9,1.6,46,40.8,1783,40.9,35.5,9.9,4.3
"134","11362","Bayside - Little Neck","Queens",296,1668.73,17738.01,17,95.84,30.17,"11362",18721,53.1,4.2,89185,5.1,5,38.2,71.4,79.8,20.2,2.9,0.8,521500,90,43.4,83.9,49.7,49.4,0.9,8.9,1.6,49.5,37,1808,43.3,23.8,10.1,3
